Date,Close ,Volume
09/23/2024,250,"86,927,200"
09/20/2024,238.25,"99,879,100"
09/19/2024,243.92,"102,694,600"
09/18/2024,227.2,"78,010,200"
09/17/2024,227.87,"66,761,600"
09/16/2024,226.78,"54,323,000"
09/13/2024,230.29,"59,515,100"
09/12/2024,229.81,"72,020,000"
09/11/2024,228.13,"83,548,600"
09/10/2024,226.17,"78,891,100"
09/09/2024,216.27,"67,443,500"
09/06/2024,210.73,"112,177,000"
09/05/2024,230.17,"119,355,000"
09/04/2024,219.41,"80,651,800"
09/03/2024,210.6,"76,714,200"
08/30/2024,214.11,"63,370,600"
08/29/2024,206.28,"62,308,800"
08/28/2024,205.75,"64,116,400"
08/27/2024,209.21,"62,821,400"
08/26/2024,213.21,"59,301,200"
08/23/2024,220.32,"81,525,200"
08/22/2024,210.66,"79,514,500"
08/21/2024,223.27,"70,146,000"
08/20/2024,221.1,"74,001,200"
08/19/2024,222.72,"76,435,200"
08/16/2024,216.12,"88,765,100"
08/15/2024,214.14,"89,848,500"
08/14/2024,201.38,"70,250,000"
08/13/2024,207.83,"76,247,400"
08/12/2024,197.49,"64,044,900"
08/09/2024,200,"58,648,300"
08/08/2024,198.84,"65,033,900"
08/07/2024,191.76,"71,159,800"
08/06/2024,200.64,"73,783,900"
08/05/2024,198.88,"100,308,800"
08/02/2024,207.67,"82,880,100"
08/01/2024,216.86,"83,861,900"
07/31/2024,232.07,"67,497,000"
07/30/2024,222.62,"100,560,300"
07/29/2024,232.1,"129,201,800"
07/26/2024,219.8,"94,604,100"
07/25/2024,220.25,"100,636,500"
07/24/2024,215.99,"167,942,900"
07/23/2024,246.38,"111,928,200"
07/22/2024,251.51,"101,225,400"
07/19/2024,239.2,"87,403,900"
07/18/2024,249.23,"110,869,000"
07/17/2024,248.5,"115,584,800"
07/16/2024,256.56,"126,332,500"
07/15/2024,252.64,"146,912,900"
07/12/2024,248.23,"155,955,800"
07/11/2024,241.03,"221,707,300"
07/10/2024,263.26,"128,519,400"
07/09/2024,262.33,"160,210,900"
07/08/2024,252.94,"157,219,600"
07/05/2024,251.52,"154,501,200"
07/03/2024,246.39,"166,561,500"
07/02/2024,231.26,"205,047,900"
07/01/2024,209.86,"135,691,400"
06/28/2024,197.88,"95,438,100"
06/27/2024,197.42,"72,746,500"
06/26/2024,196.37,"95,737,100"
06/25/2024,187.35,"63,678,300"
06/24/2024,182.58,"61,992,100"
06/21/2024,183.01,"63,029,500"
06/20/2024,181.57,"55,893,100"
06/18/2024,184.86,"68,982,300"
06/17/2024,187.44,"109,786,100"
06/14/2024,178.01,"82,038,200"
06/13/2024,182.47,"118,984,100"
06/12/2024,177.29,"90,389,400"
06/11/2024,170.66,"64,761,900"
06/10/2024,173.79,"50,869,700"
06/07/2024,177.48,"56,244,900"
06/06/2024,177.94,"69,887,000"
06/05/2024,175,"57,953,800"
06/04/2024,174.77,"60,056,300"
06/03/2024,176.29,"68,568,900"
05/31/2024,178.08,"67,314,600"
05/30/2024,178.79,"77,784,800"
05/29/2024,176.19,"54,782,600"
05/28/2024,176.75,"59,736,600"
05/24/2024,179.24,"65,479,700"
05/23/2024,173.74,"71,975,500"
05/22/2024,180.11,"88,313,500"
05/21/2024,186.6,"115,266,500"
05/20/2024,174.95,"61,727,400"
05/17/2024,177.46,"77,445,800"
05/16/2024,174.84,"59,812,200"
05/15/2024,173.99,"79,663,000"
05/14/2024,177.55,"86,407,400"
05/13/2024,171.89,"67,018,900"
05/10/2024,168.47,"72,627,200"
05/09/2024,171.97,"65,950,300"
05/08/2024,174.72,"79,969,500"
05/07/2024,177.81,"75,045,900"
05/06/2024,184.76,"84,390,300"
05/03/2024,181.19,"75,491,500"
05/02/2024,180.01,"89,148,000"
05/01/2024,179.99,"92,829,700"
04/30/2024,183.28,"127,031,800"
04/29/2024,194.05,"243,869,700"
04/26/2024,168.29,"109,815,700"
04/25/2024,170.18,"126,427,500"
04/24/2024,162.13,"181,178,000"
04/23/2024,144.68,"124,545,100"
04/22/2024,142.05,"107,097,600"
04/19/2024,147.05,"86,005,100"
04/18/2024,149.93,"96,098,800"
04/17/2024,155.45,"82,439,700"
04/16/2024,157.11,"97,000,000"
04/15/2024,161.48,"100,245,300"
04/12/2024,171.05,"64,506,600"
04/11/2024,174.6,"94,516,000"
04/10/2024,171.76,"84,532,400"
04/09/2024,176.88,"103,232,700"
04/08/2024,172.98,"104,423,300"
04/05/2024,164.9,"141,250,700"
04/04/2024,171.11,"123,162,000"
04/03/2024,168.38,"82,950,100"
04/02/2024,166.63,"116,650,600"
04/01/2024,175.22,"81,562,100"
