Date,Close�,Volume
4/24/2024,505.41,64306100
4/25/2024,503.49,46415400
4/26/2024,508.26,77483600
4/29/2024,510.06,80242800
4/30/2024,501.98,62550200
5/1/2024,500.35,72756700
5/2/2024,505.03,47264700
5/3/2024,511.29,52561300
5/6/2024,516.57,42047200
5/7/2024,517.14,43643700
5/8/2024,517.19,52233200
5/9/2024,520.17,36716400
5/10/2024,520.84,57535900
5/13/2024,520.91,59504900
5/14/2024,523.3,50244800
5/15/2024,529.78,59187600
5/16/2024,528.69,37764200
5/17/2024,529.45,33437000
5/20/2024,530.06,48390000
5/21/2024,531.36,57211200
5/22/2024,529.83,41258400
5/23/2024,525.96,36269600
5/24/2024,529.44,45190300
5/28/2024,529.81,46468500
5/29/2024,526.1,90785800
5/30/2024,522.61,46835700
5/31/2024,527.37,34632700
6/3/2024,527.8,47610400
6/4/2024,528.39,30808500
6/5/2024,534.67,43224500
6/6/2024,534.66,35729300
6/7/2024,534.01,36383400
6/10/2024,535.66,63251300
6/11/2024,536.95,44760900
6/12/2024,541.36,40089900
6/13/2024,542.45,55839500
6/14/2024,542.78,41376400
6/17/2024,547.1,70328200
6/18/2024,548.49,64513900
6/20/2024,547,68327600
6/21/2024,544.51,45528700
6/24/2024,542.74,38273300
6/25/2024,544.83,38550600
6/26/2024,545.51,35041500
6/27/2024,546.37,76144500
6/28/2024,544.22,40297800
7/1/2024,545.34,40434800
7/2/2024,549.01,32789900
7/3/2024,551.46,41488400
7/5/2024,554.64,36110500
7/8/2024,555.28,27289700
7/9/2024,555.82,38701200
7/10/2024,561.32,53054200
7/11/2024,556.48,53084400
7/12/2024,559.99,40584300
7/15/2024,561.53,36475300
7/16/2024,564.86,57119000
7/17/2024,556.94,56270400
7/18/2024,552.66,65509100
7/19/2024,548.99,43346700
7/22/2024,554.65,34439600
7/23/2024,553.78,74515300
7/24/2024,541.23,61158300
7/25/2024,538.41,53763800
7/26/2024,544.44,39515800
7/29/2024,544.76,46853600
7/30/2024,542,65663400
7/31/2024,550.81,76428700
8/1/2024,543.01,82789100
8/2/2024,532.9,146267400
8/5/2024,517.38,84826300
8/6/2024,522.15,70698300
8/7/2024,518.66,63276600
8/8/2024,530.65,45619600
8/9/2024,532.99,42542100
8/12/2024,533.27,52333100
8/13/2024,542.04,42446900
8/14/2024,543.75,60846800
8/15/2024,553.07,44430700
8/16/2024,554.31,39121800
8/19/2024,559.61,33732300
8/20/2024,558.7,41514600
8/21/2024,560.62,56121500
8/22/2024,556.22,50639400
8/23/2024,562.13,35788600
8/26/2024,560.79,32693900
8/27/2024,561.56,41066000
8/28/2024,558.3,38715200
8/29/2024,558.35,62700100
8/30/2024,563.68,60600100
9/3/2024,552.08,47224900
9/4/2024,550.95,44264300
9/5/2024,549.61,68493800
9/6/2024,540.36,40445800
9/9/2024,546.41,36394600
9/10/2024,548.79,75248600
9/11/2024,554.42,51892700
9/12/2024,559.09,39310500
9/13/2024,562.01,36656100
9/16/2024,562.84,49321000
9/17/2024,563.07,59044900
9/18/2024,561.4,75315500
9/19/2024,570.98,77503100
9/20/2024,568.25,65002200
9/23/2024,569.67,44116900
9/24/2024,571.3,46805700
9/25/2024,570.04,38428600
9/26/2024,572.3,48336000
9/27/2024,571.47,42100900
9/30/2024,573.76,63557400
10/1/2024,568.62,72668800
10/2/2024,568.86,38097800
10/3/2024,567.82,40846500
10/4/2024,572.98,42939100
10/7/2024,567.8,49964700
10/8/2024,573.17,37398700
10/9/2024,577.14,37912200
10/10/2024,576.13,44138100
10/11/2024,579.58,42268000
10/14/2024,584.32,36217200
10/15/2024,579.78,54203600
10/16/2024,582.3,30725400
10/17/2024,582.35,34393700
10/18/2024,584.59,37416800
10/21/2024,583.63,36439000
10/22/2024,583.32,34183800
10/23/2024,577.99,49314600
10/24/2024,579.24,34979900
10/25/2024,579.04,47268200
10/28/2024,580.83,30174700
10/29/2024,581.77,42899700
10/30/2024,580.01,41435800
10/31/2024,568.64,60182500
11/1/2024,571.04,45667500
11/4/2024,569.81,38217000
11/5/2024,576.7,39478300
11/6/2024,591.04,68182000
11/7/2024,595.61,47233200
11/8/2024,598.19,46444900
11/11/2024,598.76,37586800
11/12/2024,596.9,43006100
11/13/2024,597.19,47388600
11/14/2024,593.35,38904100
11/15/2024,585.75,75988800
11/18/2024,588.15,37084100
11/19/2024,590.3,49412000
11/20/2024,590.5,50032600
11/21/2024,593.67,46750300
11/22/2024,595.51,38226400
11/25/2024,597.53,42441400
11/26/2024,600.65,45621300
11/27/2024,598.83,34000200
11/29/2024,602.55,30177400
12/2/2024,603.63,31746000
12/3/2024,603.91,26906600
12/4/2024,607.66,42787600
12/5/2024,606.66,28762200
12/6/2024,607.81,31241500
12/9/2024,604.68,34742700
12/10/2024,602.8,37172600
