Date,Close ,Volume
6/6/2024,178.35,14255800
6/7/2024,175.95,14716300
6/10/2024,176.63,17122200
6/11/2024,178.19,14402400
6/12/2024,179.56,18600400
6/13/2024,176.74,15956900
6/14/2024,178.37,12361600
6/17/2024,178.78,15272900
6/18/2024,176.45,15640300
6/20/2024,177.71,16753200
6/21/2024,180.26,59728000
6/24/2024,180.79,18198300
6/25/2024,185.58,18917700
6/26/2024,185.37,13375700
6/27/2024,186.86,13025700
6/28/2024,183.42,23032400
7/1/2024,184.49,11815900
7/2/2024,186.61,12555500
7/3/2024,187.39,7409100
7/5/2024,191.96,14303400
7/8/2024,190.48,12097600
7/9/2024,190.44,10198500
7/10/2024,192.66,12052900
7/11/2024,187.3,16452000
7/12/2024,186.78,14449100
7/15/2024,188.19,12186000
7/16/2024,185.5,12760100
7/17/2024,182.62,17376600
7/18/2024,179.22,17877200
7/19/2024,179.39,14485900
7/22/2024,183.35,16303900
7/23/2024,183.6,23772600
7/24/2024,174.37,31250700
7/25/2024,169.16,28967900
7/26/2024,168.68,25150100
7/29/2024,171.13,13768900
7/30/2024,171.86,13681400
7/31/2024,173.15,15650200
8/1/2024,172.45,17177800
8/2/2024,168.4,18907800
8/5/2024,160.64,34907800
8/6/2024,160.54,36146500
8/7/2024,160.75,19334200
8/8/2024,163.84,15733600
8/9/2024,165.39,13549200
8/12/2024,163.95,12435000
8/13/2024,165.93,12717600
8/14/2024,162.03,22515900
8/15/2024,163.17,18392500
8/16/2024,164.74,16853100
8/19/2024,168.4,13100800
8/20/2024,168.96,12622500
8/21/2024,167.63,15269600
8/22/2024,165.49,19123800
8/23/2024,167.43,14281600
8/26/2024,167.93,11990300
8/27/2024,166.38,13718200
8/28/2024,164.5,15208700
8/29/2024,163.4,17133800
8/30/2024,165.11,18498800
9/3/2024,158.61,26533100
9/4/2024,157.81,17410700
9/5/2024,158.6,14139500
9/6/2024,152.13,24999100
9/9/2024,149.54,28057700
9/10/2024,150.01,20401800
9/11/2024,152.15,18991500
9/12/2024,155.54,21024100
9/13/2024,158.37,16733900
9/16/2024,158.99,14157600
9/17/2024,160.28,12064800
9/18/2024,160.81,16756500
9/19/2024,163.24,17548200
9/20/2024,164.64,46362700
9/23/2024,163.07,15648400
9/24/2024,163.64,18774100
9/25/2024,162.99,13607900
9/26/2024,163.83,18234500
9/27/2024,165.29,13604300
9/30/2024,167.19,14070100
10/1/2024,168.42,18629500
10/2/2024,167.31,12745000
10/3/2024,167.21,11004300
10/4/2024,168.56,11422100
10/7/2024,164.39,14034700
10/8/2024,165.7,11723900
10/9/2024,163.06,19666400
10/10/2024,163.18,12900500
10/11/2024,164.52,10946000
10/14/2024,166.35,9981800
10/15/2024,166.9,14829300
10/16/2024,166.74,9968500
10/17/2024,164.51,15113400
10/18/2024,165.05,13091300
10/21/2024,165.8,11384000
10/22/2024,166.82,11958600
10/23/2024,164.48,12754300
10/24/2024,164.53,12764400
10/25/2024,166.99,14566400
10/28/2024,168.34,20858300
10/29/2024,171.14,28916100
10/30/2024,176.14,49698300
10/31/2024,172.69,32801900
11/1/2024,172.65,21752900
11/4/2024,170.68,16194000
11/5/2024,171.41,12518300
11/6/2024,178.33,27061500
11/7/2024,182.28,16730400
11/8/2024,179.86,15021500
11/11/2024,181.97,12503400
11/12/2024,183.32,14065800
11/13/2024,180.49,13969700
11/14/2024,177.35,17925800
11/15/2024,173.89,21708900
11/18/2024,176.8,18725400
11/19/2024,179.58,15392900
11/20/2024,177.33,15729800
11/21/2024,169.24,38839400
11/22/2024,166.57,24497000
11/25/2024,169.43,21395700
11/26/2024,170.62,14937500
11/27/2024,170.82,12433400
11/29/2024,170.49,9250700
12/2/2024,172.98,16593400
12/3/2024,173.02,15721500
12/4/2024,176.09,18239800
12/5/2024,174.31,16145500
12/6/2024,176.49,13319500
12/9/2024,177.1,19887800
12/10/2024,186.53,34259200
